epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,4774.86,0.95917,0.81682,1.5555,0.77198,0.72325,0.77256,0.41825,1.60913,1.09324,2.4868,0.000313458,0.000313458,0.000313458
65,4849.54,0.96851,0.8272,1.56263,0.72583,0.70791,0.76249,0.40805,1.62683,1.16266,2.5021,0.000305211,0.000305211,0.000305211
66,4924.05,0.94756,0.77412,1.54314,0.71237,0.72376,0.7518,0.40398,1.61284,1.1465,2.49102,0.000296964,0.000296964,0.000296964
67,4998.87,0.92841,0.7852,1.52745,0.71948,0.73359,0.7623,0.4131,1.61002,1.12452,2.50595,0.000288718,0.000288718,0.000288718
68,5073.6,0.92313,0.78409,1.52474,0.76252,0.69047,0.76633,0.41693,1.59037,1.08702,2.52266,0.000280471,0.000280471,0.000280471
69,5148.56,0.90346,0.75028,1.51012,0.73869,0.69594,0.74342,0.40222,1.61771,1.14289,2.57029,0.000272224,0.000272224,0.000272224
70,5223.19,0.89263,0.75659,1.49206,0.7662,0.69085,0.76308,0.41344,1.61332,1.10187,2.55728,0.000263978,0.000263978,0.000263978
71,5297.66,0.89512,0.72748,1.49925,0.76658,0.69847,0.7661,0.40784,1.6246,1.09835,2.54696,0.000255731,0.000255731,0.000255731
72,5372,0.86106,0.68767,1.46097,0.76079,0.70699,0.77057,0.42409,1.61339,1.07624,2.55041,0.000247484,0.000247484,0.000247484
73,5446.91,0.85793,0.70471,1.45707,0.75225,0.70174,0.765,0.4112,1.62894,1.12739,2.58929,0.000239238,0.000239238,0.000239238
74,5521.39,0.8384,0.70078,1.43907,0.78803,0.67161,0.7572,0.40952,1.63978,1.14111,2.60637,0.000230991,0.000230991,0.000230991
75,5596.05,0.8419,0.69223,1.43427,0.73449,0.7358,0.76015,0.4037,1.62512,1.13023,2.63148,0.000222744,0.000222744,0.000222744
76,5670.52,0.81924,0.67731,1.41676,0.79571,0.70172,0.77733,0.4223,1.60842,1.12753,2.60815,0.000214497,0.000214497,0.000214497
77,5745.37,0.83951,0.67649,1.43809,0.75945,0.72926,0.76967,0.41775,1.61418,1.117,2.60388,0.000206251,0.000206251,0.000206251
78,5820.05,0.80289,0.64649,1.39676,0.80094,0.6924,0.7641,0.41204,1.61058,1.07694,2.60304,0.000198004,0.000198004,0.000198004
79,5894.56,0.79554,0.63767,1.40434,0.77713,0.69877,0.76862,0.41818,1.59571,1.08899,2.61755,0.000189757,0.000189757,0.000189757
80,5969.13,0.77013,0.62764,1.38406,0.73491,0.74329,0.77468,0.42458,1.60816,1.0966,2.6399,0.000181511,0.000181511,0.000181511
81,6043.98,0.76393,0.619,1.36704,0.77265,0.7012,0.75765,0.41239,1.60852,1.12607,2.63839,0.000173264,0.000173264,0.000173264
